n1,nsv,al,av,n,λ,s/h0,result
0.25 ,0.28 ,0.51 ,0.63 ,0.33 ,3.00 ,0.51 ,fs
0.28 ,0.31 ,0.24 ,0.20 ,0.43 ,3.00 ,0.41 ,fs
0.21 ,0.23 ,0.34 ,0.90 ,0.49 ,3.00 ,0.45 ,fs
0.06 ,0.07 ,0.38 ,0.61 ,0.15 ,3.00 ,0.30 ,fs
0.09 ,0.10 ,0.26 ,0.80 ,0.15 ,3.00 ,0.44 ,fs
0.05 ,0.06 ,0.26 ,0.80 ,0.25 ,3.00 ,0.44 ,fs
0.09 ,0.10 ,0.26 ,0.80 ,0.25 ,3.00 ,0.44 ,fs
0.09 ,0.10 ,0.26 ,0.80 ,0.40 ,3.00 ,0.44 ,fs
0.15 ,0.16 ,0.26 ,0.80 ,0.32 ,3.00 ,0.44 ,fs
0.11 ,0.12 ,0.26 ,0.80 ,0.60 ,3.15 ,0.44 ,fs
0.12 ,0.13 ,0.26 ,0.80 ,0.75 ,3.15 ,0.44 ,fs
0.13 ,0.15 ,0.26 ,0.80 ,0.75 ,3.15 ,0.44 ,fs
0.12 ,0.13 ,0.26 ,0.80 ,0.90 ,3.15 ,0.44 ,fs
0.15 ,0.17 ,0.26 ,0.80 ,0.90 ,3.15 ,0.44 ,fs
0.03 ,0.03 ,0.52 ,1.03 ,0.11 ,3.50 ,0.46 ,fs
0.08 ,0.08 ,0.56 ,0.69 ,0.65 ,3.50 ,0.21 ,fs
0.16 ,0.18 ,0.73 ,1.80 ,0.09 ,3.50 ,0.36 ,fs
0.18 ,0.20 ,0.28 ,0.32 ,0.39 ,3.50 ,0.19 ,fs
0.15 ,0.16 ,0.49 ,0.52 ,0.81 ,3.50 ,0.43 ,fs
0.17 ,0.19 ,0.52 ,0.63 ,0.83 ,3.50 ,0.19 ,fs
0.08 ,0.09 ,0.32 ,0.21 ,0.80 ,3.50 ,0.29 ,fs
0.02 ,0.03 ,0.65 ,0.91 ,0.10 ,3.50 ,0.23 ,fs
0.18 ,0.20 ,0.30 ,0.23 ,0.70 ,3.50 ,0.27 ,fs
0.29 ,0.32 ,0.25 ,0.41 ,0.57 ,3.50 ,0.31 ,fs
0.03 ,0.04 ,0.42 ,0.78 ,0.47 ,3.50 ,0.55 ,fs
0.10 ,0.10 ,0.28 ,1.10 ,0.15 ,3.85 ,0.44 ,fs
0.05 ,0.06 ,0.28 ,1.10 ,0.25 ,3.85 ,0.44 ,fs
0.10 ,0.11 ,0.28 ,1.10 ,0.25 ,3.85 ,0.44 ,fs
0.30 ,0.33 ,0.74 ,0.63 ,0.83 ,4.00 ,0.29 ,fs
0.28 ,0.31 ,0.36 ,0.57 ,0.54 ,4.00 ,0.45 ,fs
0.14 ,0.15 ,0.46 ,0.21 ,0.77 ,4.50 ,0.31 ,fs
0.04 ,0.04 ,0.23 ,1.19 ,0.30 ,5.00 ,0.19 ,fs
0.03 ,0.04 ,0.23 ,1.19 ,0.30 ,5.00 ,0.19 ,fs
0.03 ,0.04 ,0.23 ,1.19 ,0.60 ,5.00 ,0.19 ,fs
0.03 ,0.03 ,0.23 ,1.19 ,0.30 ,5.00 ,0.19 ,fs
0.04 ,0.04 ,0.23 ,1.19 ,0.60 ,5.00 ,0.19 ,fs
0.05 ,0.06 ,0.25 ,1.75 ,0.60 ,5.60 ,0.19 ,fs
0.04 ,0.04 ,0.25 ,1.75 ,0.60 ,5.60 ,0.19 ,fs
0.09 ,0.10 ,0.12 ,1.03 ,0.73 ,2.00 ,0.30 ,fs
0.13 ,0.15 ,0.16 ,0.65 ,0.66 ,2.50 ,0.25 ,fs
0.11 ,0.12 ,0.25 ,0.80 ,0.60 ,3.00 ,0.36 ,fs
0.02 ,0.02 ,0.28 ,0.65 ,0.44 ,3.50 ,0.41 ,fs
0.02 ,0.03 ,0.39 ,0.73 ,0.35 ,3.50 ,0.41 ,fs
0.15 ,0.16 ,0.19 ,0.32 ,0.37 ,3.50 ,0.49 ,fs
0.02 ,0.03 ,0.16 ,0.53 ,0.75 ,4.00 ,0.34 ,fs
0.22 ,0.24 ,0.15 ,0.36 ,0.68 ,2.00 ,0.34 ,s
0.25 ,0.27 ,0.43 ,1.03 ,0.85 ,2.50 ,0.33 ,s
0.14 ,0.16 ,0.23 ,1.06 ,0.79 ,2.50 ,0.24 ,s
0.04 ,0.04 ,0.34 ,0.35 ,0.83 ,2.50 ,0.22 ,s
0.05 ,0.05 ,0.17 ,0.33 ,0.72 ,3.00 ,0.17 ,s
0.24 ,0.27 ,0.17 ,0.31 ,0.88 ,3.00 ,0.44 ,s
0.10 ,0.11 ,0.41 ,1.54 ,0.61 ,3.00 ,0.23 ,s
0.19 ,0.21 ,0.63 ,0.75 ,0.64 ,3.00 ,0.36 ,s
0.08 ,0.09 ,0.18 ,0.32 ,0.71 ,3.00 ,0.29 ,s
0.24 ,0.26 ,0.46 ,0.97 ,0.89 ,3.00 ,0.20 ,s
0.09 ,0.09 ,0.42 ,0.62 ,0.88 ,3.00 ,0.25 ,s
0.16 ,0.17 ,0.23 ,0.39 ,0.87 ,4.00 ,0.15 ,s
0.13 ,0.14 ,0.26 ,0.77 ,0.08 ,1.50 ,0.23 ,s
0.07 ,0.08 ,0.31 ,0.25 ,0.10 ,2.00 ,0.56 ,s
0.15 ,0.16 ,0.31 ,0.33 ,0.10 ,2.00 ,0.41 ,s
0.11 ,0.13 ,0.31 ,0.41 ,0.10 ,2.00 ,0.34 ,s
0.05 ,0.05 ,0.56 ,0.98 ,0.09 ,2.50 ,0.23 ,s
0.23 ,0.25 ,0.45 ,0.63 ,0.07 ,2.00 ,0.38 ,s
0.12 ,0.13 ,0.40 ,0.48 ,0.06 ,2.00 ,0.41 ,s
0.06 ,0.07 ,0.42 ,0.95 ,0.10 ,2.00 ,0.43 ,s
0.21 ,0.23 ,0.45 ,0.45 ,0.16 ,2.50 ,0.37 ,s
0.18 ,0.20 ,0.45 ,0.49 ,0.15 ,2.00 ,0.56 ,s
0.21 ,0.23 ,0.53 ,1.22 ,0.15 ,2.00 ,0.46 ,s
0.11 ,0.13 ,0.31 ,0.25 ,0.20 ,2.00 ,0.56 ,s
0.07 ,0.08 ,0.31 ,0.33 ,0.20 ,2.00 ,0.41 ,s
0.15 ,0.16 ,0.31 ,0.41 ,0.20 ,2.00 ,0.34 ,s
0.20 ,0.22 ,0.57 ,0.29 ,0.17 ,3.00 ,0.25 ,s
0.14 ,0.16 ,0.19 ,0.16 ,0.16 ,2.00 ,0.53 ,s
0.10 ,0.11 ,0.34 ,1.51 ,0.38 ,1.50 ,0.34 ,s
0.15 ,0.17 ,0.33 ,0.92 ,0.19 ,2.00 ,0.37 ,s
0.09 ,0.10 ,0.52 ,0.45 ,0.21 ,2.50 ,0.43 ,s
0.15 ,0.16 ,0.31 ,0.25 ,0.30 ,2.00 ,0.56 ,s
0.11 ,0.13 ,0.31 ,0.33 ,0.30 ,2.00 ,0.41 ,s
0.07 ,0.08 ,0.31 ,0.41 ,0.30 ,2.00 ,0.34 ,s
0.14 ,0.16 ,0.23 ,0.44 ,0.33 ,2.00 ,0.22 ,s
0.02 ,0.02 ,0.67 ,0.64 ,0.24 ,1.50 ,0.47 ,s
0.12 ,0.13 ,0.20 ,0.25 ,0.13 ,2.00 ,0.24 ,s
0.08 ,0.09 ,0.96 ,1.28 ,0.53 ,3.00 ,0.24 ,s
0.17 ,0.19 ,0.34 ,1.11 ,0.20 ,2.00 ,0.39 ,s
0.24 ,0.26 ,0.53 ,1.01 ,0.58 ,1.50 ,0.25 ,s
0.21 ,0.23 ,0.19 ,0.22 ,0.57 ,1.50 ,0.30 ,s
0.13 ,0.14 ,0.42 ,1.52 ,0.65 ,1.50 ,0.30 ,s
0.23 ,0.25 ,0.52 ,0.32 ,0.46 ,1.50 ,0.32 ,s
0.16 ,0.18 ,0.49 ,1.19 ,0.28 ,2.00 ,0.30 ,s
0.07 ,0.08 ,0.19 ,0.21 ,0.21 ,1.50 ,0.21 ,s
0.04 ,0.05 ,0.34 ,0.61 ,0.71 ,1.50 ,0.46 ,s
0.05 ,0.06 ,0.57 ,0.85 ,0.68 ,2.50 ,0.35 ,s
0.24 ,0.27 ,0.40 ,0.77 ,0.63 ,2.00 ,0.47 ,s
0.29 ,0.32 ,0.71 ,0.47 ,0.64 ,2.50 ,0.37 ,s
0.24 ,0.27 ,0.59 ,1.11 ,0.41 ,2.00 ,0.49 ,s
0.10 ,0.12 ,0.51 ,0.70 ,0.32 ,2.00 ,0.39 ,s
0.12 ,0.13 ,0.46 ,1.53 ,0.34 ,2.00 ,0.18 ,s
0.26 ,0.29 ,0.55 ,0.51 ,0.22 ,2.00 ,0.21 ,s
0.09 ,0.10 ,0.77 ,0.25 ,0.44 ,3.00 ,0.30 ,s
0.21 ,0.24 ,0.44 ,0.61 ,0.47 ,2.00 ,0.45 ,s
